,Название автомобиля,Двигатель/л,Мощность/л.с,Коробка передач,Привод,Цвет,"Пробег, км",Руль,Стоимость/руб.
0,"Запрет на регистрацию, документы все",2.0,125,АКПП,передний,серый,11 111,правый,200 000 
1,"Продажа Toyota RAV4, 2008 год в Екатеринбурге",2.0,152,АКПП,ривод4WD,5 дв.,ристый,45 255,1 450 000 
2,"Продажа Lexus LX570, 2009 год в Екатеринбурге",", Г",367,АКПП,ривод4WD,ерный,99 000,ьлевый,2 880 000 
3,По птс 1994 год! Сел поехал и доехал! Вид бомба не гнилая не ржавая! Гур сиденья от иномарки! Замена кузова и всех остальных агрегатов в 2009 году все записи есть в птс! В стс стоит 2009 год! Мотор инжектор! Нужно дособрать салон!,1.6,ь80,ника,ривод4WD,белый,00 000,ьлевый,220 000 
4,"Продажа Peugeot 408, 2015 год в Нижнем Тагиле",1.6,120,АКПП,передний,истый,27 000,ьлевый,700 000 
5,"Продажа Hyundai Getz, 2010 год в Екатеринбурге",1.4,ь97,ника,передний,5 дв.,олубой,07 000,449 000 
6,"Продажа Skoda Octavia, 2001 год в Екатеринбурге",1.8,150,ника,передний,фтбек,тсерый,78 000,248 000 
7,Сигналка с запуском мотор немного цокает 4 окраса! Поставил битый или не на ходу потому что Дром не даёт выставить по такой цене! Авто без штрафов запретов и ограничений на полном ходу!,1.8,125,ника,передний,серый,00 000,ьлевый,265 000 
8,"Продажа Jeep Grand Cherokee, 2012 год в Екатеринбурге",3.6,286,АКПП,ривод4WD,ерный,37 000,ьлевый,1 595 000 
9,"Продажа Лада 4x4 2121 Нива, 2006 год в Среднеуральске",1.7,ь79,ника,ривод4WD,синий,94 000,ьлевый,265 000 
10,"Продажа Daewoo Nexia, 2013 год в Екатеринбурге",1.6,109,ника,передний,седан,тбелый,90 000,245 000 
11,"Продажа Subaru Impreza, 2008 год в Каменске-Уральском",1.5,107,ника,ривод4WD,седан,тистый,30 000,455 000 
12,"Продажа Volkswagen Tiguan, 2022 год в Екатеринбурге",1.4,150,обот,ривод4WD,серый,", км26",ьлевый,5 399 000 
13,"Продажа Hyundai Solaris, 2012 год в Екатеринбурге",1.4,107,АКПП,передний,седан,ристый,61 000,659 000 
14,"Продажа Honda HR-V, 1998 год в Екатеринбурге",1.6,125,атор,ривод4WD,3 дв.,желтый,13 200,350 000 
15,"Продажа Audi Q5, 2016 год в Екатеринбурге",2.0,230,АКПП,ривод4WD,белый,77 523,ьлевый,2 999 999 
16,"Продажа Toyota Sequoia, 2001 год в Екатеринбурге",4.7,243,омат,ривод4WD,ерный,57 000,правый,1 250 000 
17,"Продажа Mercedes-Benz M-Class, 2008 год в Екатеринбурге",3.0,224,АКПП,ривод4WD,истый,35 000,ьлевый,1 250 000 
18,"Продажа Volkswagen Polo, 2012 год в Верхней Пышме",1.6,105,ника,передний,седан,ристый,10 000,690 000 
19,"Продажа Kia Rio, 2007 год в Екатеринбурге",1.4,ь97,ника,передний,5 дв.,тсерый,80 000,395 000 
20,"Продажа Peugeot 308, 2009 год в Екатеринбурге",1.6,120,ника,передний,5 дв.,черный,02 000,450 000 
21,"Продажа Hyundai Solaris, 2017 год в Екатеринбурге",1.4,100,АКПП,передний,седан,тбелый,65 000,899 000 
22,"Продажа Hyundai Solaris, 2011 год в Екатеринбурге",1.6,123,АКПП,передний,седан,ристый,46 550,710 000 
23,"Продажа Opel Astra, 2014 год в Екатеринбурге",1.8,140,омат,передний,5 дв.,черный,35 000,699 000 
24,"Продажа Hyundai Solaris, 2021 год в Екатеринбурге",1.6,123,АКПП,передний,седан,чневый,м4 000,1 590 000 
25,"Продажа Hyundai Santa Fe, 2002 год в Екатеринбурге",2.7,173,АКПП,ривод4WD,ерный,00 000,ьлевый,499 000 
26,"Продажа Mazda Mazda3, 2007 год в Екатеринбурге",1.6,105,АКПП,передний,5 дв.,рдовый,20 000,475 000 
27,"Продажа Kia Rio, 2012 год в Нижнем Тагиле",1.6,123,АКПП,передний,седан,тсерый,17 000,750 000 
28,"Продажа SsangYong Kyron, 2008 год в Реже",2.0,141,ника,ривод4WD,ерный,72 000,ьлевый,550 000 
29,"Продажа Toyota RAV4, 2013 год в Екатеринбурге",2.5,180,АКПП,ривод4WD,5 дв.,черный,85 000,1 999 000 
30,"Продажа Hyundai Solaris, 2021 год в Екатеринбурге",1.6,123,ника,передний,седан,тсерый,мобиль,1 540 000 
31,"Продажа Nissan Almera, 2005 год в Екатеринбурге",1.5,ь98,ника,передний,седан,черный,99 000,299 000 
32,"Продажа Renault Sandero Stepway, 2016 год в Екатеринбурге",1.6,113,ника,передний,асный,78 000,ьлевый,659 000 
33,"Продажа BMW 5-Series, 2001 год в Новой Ляле",2.5,192,ника,одзадний,седан,черный,00 000,500 000 
34,"Продажа Renault Arkana, 2021 год в Екатеринбурге",1.3,149,атор,передний,невый,мобиль,ьлевый,2 042 450 
35,"Продажа Renault Kaptur, 2021 год в Екатеринбурге",1.6,114,атор,передний,ерный,мобиль,ьлевый,1 779 681 
36,"Продажа Renault Duster, 2021 год в Екатеринбурге",1.3,149,ника,ривод4WD,жевый,мобиль,ьлевый,1 919 047 
37,"Продажа Renault Kaptur, 2021 год в Екатеринбурге",1.3,149,атор,передний,истый,мобиль,ьлевый,1 935 600 
38,"Продажа Infiniti Q50, 2016 год в Екатеринбурге",2.0,211,АКПП,одзадний,ерный,41 000,ьлевый,1 899 000 
39,"Продажа Toyota Corolla, 2016 год в Тавде",1.6,122,ника,передний,седан,тбелый,55 000,1 265 000 
